"","Estimate","Std. Error","z value","Pr(>|z|)"
"station_nameMDRH-3",1.8335793359652,0.118647757744387,15.4539737692763,7.09322892630086e-54
"station_nameSMB-1-10",0.142938649686047,0.164084017532484,0.871130850131386,0.383682711243201
"station_nameSMB-1-12",0.92819805294859,0.136316481542315,6.80914033612628,9.81836682087748e-12
"station_nameSMB-1-13",0.225671124822862,0.162440107260545,1.38925742311225,0.16475448583557
"station_nameSMB-1-14",-0.311618617471741,0.197831173609686,-1.57517448734623,0.115216174383722
"station_nameSMB-1-16",-0.847097284356348,0.236035262579358,-3.58885903360115,0.000332128359531548
"station_nameSMB-1-17",-3.01131336363259,1.0075444601558,-2.98876474708316,0.00280107711501524
"station_nameSMB-1-18",0.92453619282921,0.103197484403481,8.95890242066812,3.27926178512761e-19
"station_nameSMB-1-3",-13.3025854883424,112.223341366597,-0.118536708374127,0.905642411036745
"station_nameSMB-1-6",0.199197455304664,0.165870995863478,1.20091794389789,0.229783032963208
"station_nameSMB-1-8",0.399701819479554,0.155957749637465,2.56288527122691,0.010380634445378
"station_nameSMB-2-1",0.694869179432441,0.148337846181408,4.68436880620916,2.80823967683862e-06
"station_nameSMB-2-10",0.0260596700483759,0.145370357823774,0.179263987779179,0.857730422360146
"station_nameSMB-2-11",0.0652638819141155,0.17416599592019,0.374722296216892,0.707867008538907
"station_nameSMB-2-13",-0.3291964622326,0.161613383014799,-2.03693813031842,0.0416562424284246
"station_nameSMB-2-4",-0.439896961326651,0.164522414518384,-2.67378133620508,0.00750013371367246
"station_nameSMB-2-7",0.884988685358431,0.103303605566149,8.56687121914385,1.06334697765836e-17
"station_nameSMB-3-3",2.01117611039366,0.100566261396244,19.9985172210922,5.67342697702804e-89
"station_nameSMB-3-4",1.13696972590614,0.102432006302996,11.0997506242625,1.25794384548901e-28
"station_nameSMB-3-5",-0.0894181854377325,0.109627662931657,-0.815653486050107,0.414698349282865
"station_nameSMB-3-6",-0.168574588751979,0.182146501486956,-0.925489028753324,0.354711587977579
"station_nameSMB-3-8",0.279802919032261,0.136816072777599,2.04510269408985,0.0408447347442227
"station_nameSMB-7-1",-1.71030180326775,0.393314817692448,-4.34842962007374,1.37115805198418e-05
"station_nameSMB-7-2",-3.66126629015687,1.00590909129706,-3.63975862414752,0.000272893729038402
"station_nameSMB-7-3",-1.8265835931804,0.460760446419955,-3.96428037035883,7.36176892012381e-05
"station_nameSMB-7-4",-2.34329828456116,0.587968316290267,-3.98541591381317,6.73620293089954e-05
"station_nameSMB-7-5",-3.4507728813823,1.00614009346283,-3.42971411615829,0.000604217498107749
"station_nameSMB-7-6",-1.44823421278357,0.237472483419934,-6.09853483623441,1.07045071371981e-09
"station_nameSMB-7-8",-1.02669722451994,0.29806953067509,-3.44448901635334,0.000572139880971357
"station_nameSMB-7-9",-1.61341975533825,0.246605364320817,-6.54251686609422,6.04920108514557e-11
"station_nameSMB-MC-2",1.14748444977687,0.102416805364361,11.2040640761498,3.89448108943713e-29
