"subbasin","deluid","deluname","lutype","acre_ac","slsur","lsur"
6398,11122,"Dev_Irrigated-A-Med-Unconfined",2,0,0.01,300
6398,11211,"Dev_Irrigated-B-Low-Confined",2,0,0.01,400
6398,11212,"Dev_Irrigated-B-Low-Unconfined",2,0,0.01,400
6398,11221,"Dev_Irrigated-B-Med-Confined",2,0,0.01,300
6398,11222,"Dev_Irrigated-B-Med-Unconfined",2,0,0.01,300
6398,11311,"Dev_Irrigated-C-Low-Confined",2,24.459876,0.09,400
6398,11312,"Dev_Irrigated-C-Low-Unconfined",2,3.965946,0.06,400
6398,11321,"Dev_Irrigated-C-Med-Confined",2,82.44501,0.16,300
6398,11322,"Dev_Irrigated-C-Med-Unconfined",2,0.821355,0.26,300
6398,11411,"Dev_Irrigated-D-Low-Confined",2,0,0.01,400
6398,11412,"Dev_Irrigated-D-Low-Unconfined",2,0,0.01,400
6398,11421,"Dev_Irrigated-D-Med-Confined",2,0,0.01,300
6398,11422,"Dev_Irrigated-D-Med-Unconfined",2,0,0.01,300
6398,12111,"Dev_Pervious-A-Low-Confined",2,0,0.01,400
6398,12112,"Dev_Pervious-A-Low-Unconfined",2,0,0.01,400
6398,12121,"Dev_Pervious-A-Med-Confined",2,0,0.01,300
6398,12122,"Dev_Pervious-A-Med-Unconfined",2,0,0.01,300
6398,12211,"Dev_Pervious-B-Low-Confined",2,0,0.01,400
6398,12212,"Dev_Pervious-B-Low-Unconfined",2,0,0.01,400
6398,12221,"Dev_Pervious-B-Med-Confined",2,0,0.01,300
6398,12222,"Dev_Pervious-B-Med-Unconfined",2,0,0.01,300
6398,12311,"Dev_Pervious-C-Low-Confined",2,63.184077,0.08,400
6398,12312,"Dev_Pervious-C-Low-Unconfined",2,10.244724,0.06,400
6398,12321,"Dev_Pervious-C-Med-Confined",2,212.969676,0.1,300
6398,12322,"Dev_Pervious-C-Med-Unconfined",2,2.121701,0.05,300
6398,12411,"Dev_Pervious-D-Low-Confined",2,0,0.01,400
6398,12412,"Dev_Pervious-D-Low-Unconfined",2,0,0.01,400
6398,12421,"Dev_Pervious-D-Med-Confined",2,0,0.01,300
6398,12422,"Dev_Pervious-D-Med-Unconfined",2,0,0.01,300
6398,13111,"Agriculture-A-Low-Confined",2,0,0.01,400
6398,13112,"Agriculture-A-Low-Unconfined",2,0,0.01,400
6398,13121,"Agriculture-A-Med-Confined",2,0,0.01,300
6398,13122,"Agriculture-A-Med-Unconfined",2,0,0.01,300
6398,13211,"Agriculture-B-Low-Confined",2,0,0.01,400
6398,13212,"Agriculture-B-Low-Unconfined",2,0,0.01,400
6398,13221,"Agriculture-B-Med-Confined",2,0,0.01,300
6398,13222,"Agriculture-B-Med-Unconfined",2,0,0.01,300
6398,13231,"Agriculture-B-High-Confined",2,0,0.01,400
6398,13232,"Agriculture-B-High-Unconfined",2,0,0.01,400
6398,13311,"Agriculture-C-Low-Confined",2,0,0.01,400
6398,13312,"Agriculture-C-Low-Unconfined",2,0,0.01,400
6398,13321,"Agriculture-C-Med-Confined",2,0,0.01,300
6398,13322,"Agriculture-C-Med-Unconfined",2,0,0.01,300
6398,13331,"Agriculture-C-High-Confined",2,0,0.01,400
6398,13411,"Agriculture-D-Low-Confined",2,0,0.01,400
6398,13412,"Agriculture-D-Low-Unconfined",2,0,0.01,400
6398,13421,"Agriculture-D-Med-Confined",2,0,0.01,300
6398,13422,"Agriculture-D-Med-Unconfined",2,0,0.01,300
6398,13431,"Agriculture-D-High-Confined",2,0,0.01,400
6398,13432,"Agriculture-D-High-Unconfined",2,0,0.01,400
6398,14121,"Veg_Low-A-Med-Confined",2,0,0.01,300
6398,14122,"Veg_Low-A-Med-Unconfined",2,0,0.01,300
6398,14131,"Veg_Low-A-High-Confined",2,0,0.01,400
6398,14132,"Veg_Low-A-High-Unconfined",2,0,0.01,400
6398,14221,"Veg_Low-B-Med-Confined",2,0,0.01,300
6398,14222,"Veg_Low-B-Med-Unconfined",2,0,0.01,300
6398,14231,"Veg_Low-B-High-Confined",2,0,0.01,400
6398,14232,"Veg_Low-B-High-Unconfined",2,0,0.01,400
6398,14321,"Veg_Low-C-Med-Confined",2,123.32453,0.11,300
6398,14322,"Veg_Low-C-Med-Unconfined",2,3.912348,0.09,300
6398,14331,"Veg_Low-C-High-Confined",2,69.822926,0.27,400
6398,14332,"Veg_Low-C-High-Unconfined",2,1.976168,0.4,400
6398,14421,"Veg_Low-D-Med-Confined",2,0,0.01,300
6398,14422,"Veg_Low-D-Med-Unconfined",2,0,0.01,300
6398,14431,"Veg_Low-D-High-Confined",2,0,0.01,400
6398,14432,"Veg_Low-D-High-Unconfined",2,0,0.01,400
6398,15121,"Veg_High-A-Med-Confined",2,0,0.01,300
6398,15122,"Veg_High-A-Med-Unconfined",2,0,0.01,300
6398,15131,"Veg_High-A-High-Confined",2,0,0.01,400
6398,15132,"Veg_High-A-High-Unconfined",2,0,0.01,400
6398,15221,"Veg_High-B-Med-Confined",2,0,0.01,300
6398,15222,"Veg_High-B-Med-Unconfined",2,0,0.01,300
6398,15231,"Veg_High-B-High-Confined",2,0,0.01,400
6398,15232,"Veg_High-B-High-Unconfined",2,0,0.01,400
6398,15321,"Veg_High-C-Med-Confined",2,112.610801,0.16,300
6398,15322,"Veg_High-C-Med-Unconfined",2,3.549795,0.08,300
6398,15331,"Veg_High-C-High-Confined",2,5.911436,0.24,400
6398,15332,"Veg_High-C-High-Unconfined",2,0,0.01,400
6398,15421,"Veg_High-D-Med-Confined",2,0,0.01,300
6398,15422,"Veg_High-D-Med-Unconfined",2,0,0.01,300
6398,15431,"Veg_High-D-High-Confined",2,0,0.01,400
6398,15432,"Veg_High-D-High-Unconfined",2,0,0.01,400
6398,16000,"Water-All-All-All",1,0,0.01,100
