rchid,permit,pipe,parmname,value1
5137,intake-9001,1,PS_FLOW,0.000000000000e+00
5137,intake-9001,1,PS_SAND,0.000000000000e+00
5137,intake-9001,1,PS_SILT,0.000000000000e+00
5137,intake-9001,1,PS_CLAY,0.000000000000e+00
5137,intake-9001,1,PS_GQUAL_TN,0.000000000000e+00
5137,intake-9001,1,PS_GQUAL_TP,0.000000000000e+00
5137,intake-9001,1,PS_GQUAL_TCd,0.000000000000e+00
5137,intake-9001,1,PS_GQUAL_TCu,0.000000000000e+00
5137,intake-9001,1,PS_GQUAL_TPb,0.000000000000e+00
5137,intake-9001,1,PS_GQUAL_TZn,0.000000000000e+00
5399,F40,1,PS_FLOW,0.000000000000e+00
5399,F40,1,PS_SAND,0.000000000000e+00
5399,F40,1,PS_SILT,0.000000000000e+00
5399,F40,1,PS_CLAY,0.000000000000e+00
5399,F40,1,PS_GQUAL_TN,0.000000000000e+00
5399,F40,1,PS_GQUAL_TP,0.000000000000e+00
5399,F40,1,PS_GQUAL_TCd,0.000000000000e+00
5399,F40,1,PS_GQUAL_TCu,0.000000000000e+00
5399,F40,1,PS_GQUAL_TPb,0.000000000000e+00
5399,F40,1,PS_GQUAL_TZn,0.000000000000e+00
5474,intake-9009,1,PS_FLOW,0.000000000000e+00
5474,intake-9009,1,PS_SAND,0.000000000000e+00
5474,intake-9009,1,PS_SILT,0.000000000000e+00
5474,intake-9009,1,PS_CLAY,0.000000000000e+00
5474,intake-9009,1,PS_GQUAL_TN,0.000000000000e+00
5474,intake-9009,1,PS_GQUAL_TP,0.000000000000e+00
5474,intake-9009,1,PS_GQUAL_TCd,0.000000000000e+00
5474,intake-9009,1,PS_GQUAL_TCu,0.000000000000e+00
5474,intake-9009,1,PS_GQUAL_TPb,0.000000000000e+00
5474,intake-9009,1,PS_GQUAL_TZn,0.000000000000e+00
5118,WRF-SJC001,1,PS_FLOW,1.151155425735e+08
5118,WRF-SJC001,1,PS_SAND,0.000000000000e+00
5118,WRF-SJC001,1,PS_SILT,0.000000000000e+00
5118,WRF-SJC001,1,PS_CLAY,0.000000000000e+00
5118,WRF-SJC001,1,PS_GQUAL_TN,1.164208377122e+05
5118,WRF-SJC001,1,PS_GQUAL_TP,1.422551020939e+03
5118,WRF-SJC001,1,PS_GQUAL_TCd,3.944230013366e+01
5118,WRF-SJC001,1,PS_GQUAL_TCu,1.437294292722e+02
5118,WRF-SJC001,1,PS_GQUAL_TPb,6.072663595377e+01
5118,WRF-SJC001,1,PS_GQUAL_TZn,3.362209701788e+02
5393,intake-9004,1,PS_FLOW,0.000000000000e+00
5393,intake-9004,1,PS_SAND,0.000000000000e+00
5393,intake-9004,1,PS_SILT,0.000000000000e+00
5393,intake-9004,1,PS_CLAY,0.000000000000e+00
5393,intake-9004,1,PS_GQUAL_TN,0.000000000000e+00
5393,intake-9004,1,PS_GQUAL_TP,0.000000000000e+00
5393,intake-9004,1,PS_GQUAL_TCd,0.000000000000e+00
5393,intake-9004,1,PS_GQUAL_TCu,0.000000000000e+00
5393,intake-9004,1,PS_GQUAL_TPb,0.000000000000e+00
5393,intake-9004,1,PS_GQUAL_TZn,0.000000000000e+00
5273,F250,1,PS_FLOW,0.000000000000e+00
5273,F250,1,PS_SAND,0.000000000000e+00
5273,F250,1,PS_SILT,0.000000000000e+00
5273,F250,1,PS_CLAY,0.000000000000e+00
5273,F250,1,PS_GQUAL_TN,0.000000000000e+00
5273,F250,1,PS_GQUAL_TP,0.000000000000e+00
5273,F250,1,PS_GQUAL_TCd,0.000000000000e+00
5273,F250,1,PS_GQUAL_TCu,0.000000000000e+00
5273,F250,1,PS_GQUAL_TPb,0.000000000000e+00
5273,F250,1,PS_GQUAL_TZn,0.000000000000e+00
5270,Imported,1,PS_FLOW,3.154932113332e+09
5270,Imported,1,PS_SAND,0.000000000000e+00
5270,Imported,1,PS_SILT,0.000000000000e+00
5270,Imported,1,PS_CLAY,0.000000000000e+00
5270,Imported,1,PS_GQUAL_TN,0.000000000000e+00
5270,Imported,1,PS_GQUAL_TP,0.000000000000e+00
5270,Imported,1,PS_GQUAL_TCd,0.000000000000e+00
5270,Imported,1,PS_GQUAL_TCu,0.000000000000e+00
5270,Imported,1,PS_GQUAL_TPb,0.000000000000e+00
5270,Imported,1,PS_GQUAL_TZn,0.000000000000e+00
5270,U8,1,PS_FLOW,0.000000000000e+00
5270,U8,1,PS_SAND,0.000000000000e+00
5270,U8,1,PS_SILT,0.000000000000e+00
5270,U8,1,PS_CLAY,0.000000000000e+00
5270,U8,1,PS_GQUAL_TN,0.000000000000e+00
5270,U8,1,PS_GQUAL_TP,0.000000000000e+00
5270,U8,1,PS_GQUAL_TCd,0.000000000000e+00
5270,U8,1,PS_GQUAL_TCu,0.000000000000e+00
5270,U8,1,PS_GQUAL_TPb,0.000000000000e+00
5270,U8,1,PS_GQUAL_TZn,0.000000000000e+00
5157,WRF-SJC002,1,PS_FLOW,2.165897961848e+08
5157,WRF-SJC002,1,PS_SAND,0.000000000000e+00
5157,WRF-SJC002,1,PS_SILT,0.000000000000e+00
5157,WRF-SJC002,1,PS_CLAY,0.000000000000e+00
5157,WRF-SJC002,1,PS_GQUAL_TN,2.190457078828e+05
5157,WRF-SJC002,1,PS_GQUAL_TP,2.663874853392e+03
5157,WRF-SJC002,1,PS_GQUAL_TCd,4.056401997855e+01
5157,WRF-SJC002,1,PS_GQUAL_TCu,1.352133999282e+02
5157,WRF-SJC002,1,PS_GQUAL_TPb,5.337137892102e+01
5157,WRF-SJC002,1,PS_GQUAL_TZn,5.779879155681e+02
5267,intake-9003,1,PS_FLOW,0.000000000000e+00
5267,intake-9003,1,PS_SAND,0.000000000000e+00
5267,intake-9003,1,PS_SILT,0.000000000000e+00
5267,intake-9003,1,PS_CLAY,0.000000000000e+00
5267,intake-9003,1,PS_GQUAL_TN,0.000000000000e+00
5267,intake-9003,1,PS_GQUAL_TP,0.000000000000e+00
5267,intake-9003,1,PS_GQUAL_TCd,0.000000000000e+00
5267,intake-9003,1,PS_GQUAL_TCu,0.000000000000e+00
5267,intake-9003,1,PS_GQUAL_TPb,0.000000000000e+00
5267,intake-9003,1,PS_GQUAL_TZn,0.000000000000e+00
5245,E281,1,PS_FLOW,0.000000000000e+00
5245,E281,1,PS_SAND,0.000000000000e+00
5245,E281,1,PS_SILT,0.000000000000e+00
5245,E281,1,PS_CLAY,0.000000000000e+00
5245,E281,1,PS_GQUAL_TN,0.000000000000e+00
5245,E281,1,PS_GQUAL_TP,0.000000000000e+00
5245,E281,1,PS_GQUAL_TCd,0.000000000000e+00
5245,E281,1,PS_GQUAL_TCu,0.000000000000e+00
5245,E281,1,PS_GQUAL_TPb,0.000000000000e+00
5245,E281,1,PS_GQUAL_TZn,0.000000000000e+00
5245,F280,1,PS_FLOW,0.000000000000e+00
5245,F280,1,PS_SAND,0.000000000000e+00
5245,F280,1,PS_SILT,0.000000000000e+00
5245,F280,1,PS_CLAY,0.000000000000e+00
5245,F280,1,PS_GQUAL_TN,0.000000000000e+00
5245,F280,1,PS_GQUAL_TP,0.000000000000e+00
5245,F280,1,PS_GQUAL_TCd,0.000000000000e+00
5245,F280,1,PS_GQUAL_TCu,0.000000000000e+00
5245,F280,1,PS_GQUAL_TPb,0.000000000000e+00
5245,F280,1,PS_GQUAL_TZn,0.000000000000e+00
5234,intake-9002,1,PS_FLOW,0.000000000000e+00
5234,intake-9002,1,PS_SAND,0.000000000000e+00
5234,intake-9002,1,PS_SILT,0.000000000000e+00
5234,intake-9002,1,PS_CLAY,0.000000000000e+00
5234,intake-9002,1,PS_GQUAL_TN,0.000000000000e+00
5234,intake-9002,1,PS_GQUAL_TP,0.000000000000e+00
5234,intake-9002,1,PS_GQUAL_TCd,0.000000000000e+00
5234,intake-9002,1,PS_GQUAL_TCu,0.000000000000e+00
5234,intake-9002,1,PS_GQUAL_TPb,0.000000000000e+00
5234,intake-9002,1,PS_GQUAL_TZn,0.000000000000e+00
5156,WRF-SJC003,1,PS_FLOW,9.511406196013e+05
5156,WRF-SJC003,1,PS_SAND,0.000000000000e+00
5156,WRF-SJC003,1,PS_SILT,0.000000000000e+00
5156,WRF-SJC003,1,PS_CLAY,0.000000000000e+00
5156,WRF-SJC003,1,PS_GQUAL_TN,1.013840198671e+03
5156,WRF-SJC003,1,PS_GQUAL_TP,1.138773281118e+01
5156,WRF-SJC003,1,PS_GQUAL_TCd,1.781343709587e-01
5156,WRF-SJC003,1,PS_GQUAL_TCu,5.937812364750e-01
5156,WRF-SJC003,1,PS_GQUAL_TPb,1.187562472979e-01
5156,WRF-SJC003,1,PS_GQUAL_TZn,3.795410278490e+00
5153,WRF-SJC001B,1,PS_FLOW,7.576016366718e+07
5153,WRF-SJC001B,1,PS_SAND,0.000000000000e+00
5153,WRF-SJC001B,1,PS_SILT,0.000000000000e+00
5153,WRF-SJC001B,1,PS_CLAY,0.000000000000e+00
5153,WRF-SJC001B,1,PS_GQUAL_TN,7.661920816251e+04
5153,WRF-SJC001B,1,PS_GQUAL_TP,9.062981939514e+02
5153,WRF-SJC001B,1,PS_GQUAL_TCd,2.764328105919e+01
5153,WRF-SJC001B,1,PS_GQUAL_TCu,9.459161501710e+01
5153,WRF-SJC001B,1,PS_GQUAL_TPb,4.082015455724e+01
5153,WRF-SJC001B,1,PS_GQUAL_TZn,2.370038530080e+02
