"subbasin","deluid","deluname","lutype","area_ac","slsur","lsur"
6388,13322,"Agriculture-C-Med-Unconfined",2,0,0.01,300
6388,13331,"Agriculture-C-High-Confined",2,0,0.01,400
6388,13411,"Agriculture-D-Low-Confined",2,0,0.01,400
6388,13412,"Agriculture-D-Low-Unconfined",2,0,0.01,400
6388,13421,"Agriculture-D-Med-Confined",2,0,0.01,300
6388,13422,"Agriculture-D-Med-Unconfined",2,0,0.01,300
6388,13431,"Agriculture-D-High-Confined",2,0,0.01,400
6388,13432,"Agriculture-D-High-Unconfined",2,0,0.01,400
6388,14121,"Veg_Low-A-Med-Confined",2,0,0.01,300
6388,14122,"Veg_Low-A-Med-Unconfined",2,0,0.01,300
6388,14131,"Veg_Low-A-High-Confined",2,0,0.01,400
6388,14132,"Veg_Low-A-High-Unconfined",2,0,0.01,400
6388,14221,"Veg_Low-B-Med-Confined",2,0,0.01,300
6388,14222,"Veg_Low-B-Med-Unconfined",2,0.035963,0.07,300
6388,14231,"Veg_Low-B-High-Confined",2,0,0.01,400
6388,14232,"Veg_Low-B-High-Unconfined",2,0,0.01,400
6388,14321,"Veg_Low-C-Med-Confined",2,0,0.01,300
6388,14322,"Veg_Low-C-Med-Unconfined",2,0,0.01,300
6388,14331,"Veg_Low-C-High-Confined",2,0,0.01,400
6388,14332,"Veg_Low-C-High-Unconfined",2,0,0.01,400
6388,14421,"Veg_Low-D-Med-Confined",2,1.413809,0.1,300
6388,14422,"Veg_Low-D-Med-Unconfined",2,10.310188,0.01,300
6388,14431,"Veg_Low-D-High-Confined",2,0.000932,0.18,400
6388,14432,"Veg_Low-D-High-Unconfined",2,0,0.01,400
6388,15121,"Veg_High-A-Med-Confined",2,0,0.01,300
6388,15122,"Veg_High-A-Med-Unconfined",2,0,0.01,300
6388,15131,"Veg_High-A-High-Confined",2,0,0.01,400
6388,15132,"Veg_High-A-High-Unconfined",2,0,0.01,400
6388,15221,"Veg_High-B-Med-Confined",2,0,0.01,300
6388,15222,"Veg_High-B-Med-Unconfined",2,0,0.01,300
6388,15231,"Veg_High-B-High-Confined",2,0,0.01,400
6388,15232,"Veg_High-B-High-Unconfined",2,0,0.01,400
6388,15321,"Veg_High-C-Med-Confined",2,0,0.01,300
6388,15322,"Veg_High-C-Med-Unconfined",2,0,0.01,300
6388,15331,"Veg_High-C-High-Confined",2,0,0.01,400
6388,15332,"Veg_High-C-High-Unconfined",2,0,0.01,400
6388,15421,"Veg_High-D-Med-Confined",2,0.846998,0.14,300
6388,15422,"Veg_High-D-Med-Unconfined",2,1.638616,0.01,300
6388,15431,"Veg_High-D-High-Confined",2,0,0.01,400
6388,15432,"Veg_High-D-High-Unconfined",2,0,0.01,400
6388,16000,"Water-All-All-All",1,0.059305,0.02,100
6389,1000,"Road_Freeway-All-All-All",1,39.3004,0.02,100
