1030	2008	10	29	0	0		0.000000000000e+00	1.272445645046e+00	1.915527493169e-01	1.379949339991e+01	1.526349179427e+01	2.807225603621e-02	2.777383488947e-02	7.096478313925e-02	1.095140040392e-01	1.927004220286e-02	0.000000000000e+00	4.198285435802e+01	1.226005949670e+01	5.424291385472e+01	3.599811813215e+00	7.370933977107e-01	2.360090767397e-05	5.895892141077e-03	9.429381633469e-04	1.752360199256e-01	2.508254184192e+00	2.969499943754e-01	3.968137660909e-02	9.913369152251e+00	1.585488064358e+00	5.859927201866e+01
1030	2008	10	30	0	0		0.000000000000e+00	1.310303926220e+00	1.833616142416e-01	1.392531700503e+01	1.541898254549e+01	2.837030700782e-02	2.807973852845e-02	7.173435978428e-02	1.117237079213e-01	1.983463052799e-02	0.000000000000e+00	4.217463895397e+01	1.231029421366e+01	5.448493316764e+01	3.646565568623e+00	7.449928642811e-01	2.433676553296e-05	6.079683996050e-03	9.723287498970e-04	1.772502808119e-01	2.494269332512e+00	2.941274825932e-01	3.998549824730e-02	9.989355813753e+00	1.597641847047e+00	5.850415886169e+01
1030	2008	10	31	0	0		0.000000000000e+00	1.353895108751e+00	1.955452496223e-01	1.413672195374e+01	1.568616231211e+01	2.902006675372e-02	2.870477014019e-02	7.331606811344e-02	1.162653049901e-01	2.015631209719e-02	0.000000000000e+00	4.178608080626e+01	1.219288842824e+01	5.397896923450e+01	3.734184669947e+00	7.572553784734e-01	2.473612389010e-05	6.178658797340e-03	9.880840045570e-04	1.799646675162e-01	2.496175340824e+00	2.891799067199e-01	3.948095825563e-02	9.862104260111e+00	1.577177386597e+00	5.739923269792e+01
1030	2008	11	1	0	0		2.275323413000e+01	9.128922787734e-01	1.654802035783e-01	1.413190791253e+01	1.521028039488e+01	2.710132955298e-02	2.674935210088e-02	6.837655972534e-02	1.020823760624e-01	1.508474589608e-02	0.000000000000e+00	3.827734094194e+01	1.121656220835e+01	4.949390315029e+01	3.310593622361e+00	7.273027089615e-01	1.795940324310e-05	4.488547682498e-03	7.180460038938e-04	1.744909148099e-01	2.259309806121e+00	2.851640404289e-01	3.539937546484e-02	8.845693704255e+00	1.414923644232e+00	5.714831171710e+01
1030	2008	11	2	0	0		3.185452778200e+02	9.338927728819e+01	1.443665262712e+00	1.454486818826e+01	1.093778107392e+02	1.633947082196e-01	1.425707691211e-01	3.590896594007e-01	4.028610912614e+00	1.849616475001e+00	1.634615846543e+00	1.176623866932e+02	3.913484123364e+01	1.584318437734e+02	2.429472942522e+02	8.700794131397e+00	1.560936474503e-02	1.568676332148e+00	4.570923230446e-01	8.641478674157e+00	3.485330143623e+00	2.073918326313e-01	1.718687928648e-01	1.901865037349e+01	5.153360108541e+00	1.089020330461e+02
1030	2008	11	3	0	0		0.000000000000e+00	7.266490820065e-01	8.510780038198e-01	1.446392865303e+01	1.604165573886e+01	3.278777335978e-02	3.201566849758e-02	8.176112538353e-02	1.405138005166e-01	1.251478073324e-02	0.000000000000e+00	1.942850311121e+01	5.983775090208e+00	2.541227820142e+01	3.503769284371e+00	7.901782176674e-01	1.437620500840e-05	3.593328256605e-03	5.748650414774e-04	1.753866854709e-01	1.763866084126e+00	2.701585259746e-01	2.331572046484e-02	4.991147728163e+00	8.727522472976e-01	3.779745381602e+01
1030	2008	11	4	0	0		1.092155238240e+03	4.007647839428e+02	4.133984171304e+00	1.645598556756e+01	4.213547536817e+02	2.952571233793e-01	2.038186780492e-01	6.021388688588e-01	1.720545820613e+01	1.410496469669e+01	6.554680573076e+00	2.112392305895e+02	7.039947241243e+01	2.881933835750e+02	4.439519543463e+02	8.218043611011e+01	1.521165065393e-01	1.523262487006e+01	4.596532229676e+00	6.099737106282e+01	2.292927232046e+00	2.992495780242e-01	3.355838868150e-01	3.446232701547e+01	1.014650081690e+01	1.511806217655e+02
1030	2008	11	5	0	0		0.000000000000e+00	4.655041620275e-01	1.811878767679e+00	1.635978637173e+01	1.863716930143e+01	3.758560182472e-02	3.660108427865e-02	9.348271331454e-02	1.749786784566e-01	9.408060642252e-03	0.000000000000e+00	1.111728010161e+01	3.631855420795e+00	1.474913552241e+01	4.018157605870e+00	9.449026758431e-01	9.799754411517e-06	2.449743370161e-03	3.919407175053e-04	1.932071583536e-01	1.714320219201e+00	3.162381933313e-01	1.109855584691e-02	2.577853757066e+00	4.310636034780e-01	2.769932652079e+01
1030	2008	11	6	0	0		0.000000000000e+00	6.191316692693e-01	5.756997269796e-01	1.543137656601e+01	1.662620796226e+01	2.802413251168e-02	2.763086736588e-02	7.061132174853e-02	1.084991018689e-01	1.098533836494e-02	0.000000000000e+00	2.049258989588e+01	6.248904160636e+00	2.674149405651e+01	3.431792007134e+00	8.004891729565e-01	1.223169788600e-05	3.057343250574e-03	4.891206728053e-04	1.846329954261e-01	1.870588390146e+00	3.120904111185e-01	1.915740038166e-02	4.781681934937e+00	7.656584079941e-01	4.490397536915e+01
1030	2008	11	7	0	0		0.000000000000e+00	6.641362174354e-01	2.206117822567e-01	1.473224012307e+01	1.561698812276e+01	2.517019011285e-02	2.520984105451e-02	6.367007154563e-02	8.988662217599e-02	1.133054946782e-02	0.000000000000e+00	2.693984171756e+01	8.062341751086e+00	3.500218346865e+01	3.191366776555e+00	7.390927730269e-01	1.285206853147e-05	3.212267999994e-03	5.138929609308e-04	1.772075130139e-01	1.934787061495e+00	2.949423453839e-01	2.520250578019e-02	6.299002339144e+00	1.007753549333e+00	5.482373303104e+01
1030	2008	11	8	0	0		0.000000000000e+00	7.636462383934e-01	1.400118857853e-01	1.423517152825e+01	1.513882965243e+01	2.504081227874e-02	2.516742020280e-02	6.338943751197e-02	8.935663107759e-02	1.223063101750e-02	0.000000000000e+00	3.059227372514e+01	9.072406849564e+00	3.966468057471e+01	3.152842555164e+00	7.144046823367e-01	1.414287356169e-05	3.534269079291e-03	5.653477836476e-04	1.726076598000e-01	2.009983394961e+00	2.818620473797e-01	2.858729905381e-02	7.144087753869e+00	1.142802002299e+00	5.713333724555e+01
1030	2008	11	9	0	0		0.000000000000e+00	4.608052558053e-01	9.711615109335e-02	1.369221045175e+01	1.425013185864e+01	2.149446397727e-02	2.411244810351e-02	5.416352286869e-02	7.328674774777e-02	8.286841987994e-03	0.000000000000e+00	2.937868035240e+01	8.769149436659e+00	3.814782978906e+01	2.778221471893e+00	6.652321735146e-01	8.968817565385e-06	2.241608571295e-03	3.586017615358e-04	1.623167534912e-01	1.942573775216e+00	2.937867199446e-01	2.588548457244e-02	6.469373184909e+00	1.034913440279e+00	6.178666889162e+01
1030	2008	11	10	0	0		0.000000000000e+00	5.668451306299e-01	3.657697974846e-02	1.277225011074e+01	1.337567222112e+01	1.992536601356e-02	2.319994285714e-02	5.069339595123e-02	6.519228584706e-02	1.051531808647e-02	0.000000000000e+00	3.129950804312e+01	9.326821587592e+00	4.062632963072e+01	2.694249861653e+00	6.305288164392e-01	1.208649631958e-05	3.021387474346e-03	4.833999127106e-04	1.543873143863e-01	1.926681041197e+00	3.013771349496e-01	2.985640582823e-02	7.463762090286e+00	1.194170275458e+00	6.599678668037e+01
1030	2008	11	11	0	0		0.000000000000e+00	7.260555144238e-01	6.606557765540e-02	1.231580608261e+01	1.310792717469e+01	2.244855080955e-02	2.351028658317e-02	5.699520211993e-02	7.452998676819e-02	1.180748633543e-02	0.000000000000e+00	3.541460800976e+01	1.044203737229e+01	4.585664538205e+01	2.763864975830e+00	6.196613906573e-01	1.387690104607e-05	3.468373191821e-03	5.548601841864e-04	1.506474899631e-01	2.117142408196e+00	2.884359198230e-01	3.342475594865e-02	8.354338582935e+00	1.336521469753e+00	6.217682424985e+01
1030	2008	11	12	0	0		0.000000000000e+00	7.508144032522e-01	8.833191199122e-02	1.203112544319e+01	1.287027175843e+01	2.279433920037e-02	2.380431359026e-02	5.781049917153e-02	7.674824284130e-02	1.193891089028e-02	0.000000000000e+00	3.576670209658e+01	1.053092604282e+01	4.629762813939e+01	2.747586266160e+00	6.096354406508e-01	1.409321170962e-05	3.522157687555e-03	5.634383409562e-04	1.475947576973e-01	2.161400667499e+00	2.872055315492e-01	3.360547218012e-02	8.398928431187e+00	1.343600851752e+00	6.053527938053e+01
1030	2008	11	13	0	0		0.000000000000e+00	8.184669570434e-01	1.096520154106e-01	1.181692456256e+01	1.274504353501e+01	2.346615593989e-02	2.414933337385e-02	5.951141336546e-02	8.030945304533e-02	1.257861944121e-02	0.000000000000e+00	3.603695613583e+01	1.059349612205e+01	4.663045225788e+01	2.780616741398e+00	6.053860796497e-01	1.497761616337e-05	3.742784453711e-03	5.986943511282e-04	1.458749872340e-01	2.206962238271e+00	2.839245578393e-01	3.394159475310e-02	8.481978151650e+00	1.356797254182e+00	5.872615137877e+01
1030	2008	11	14	0	0		0.000000000000e+00	7.410112452206e-01	1.105601291215e-01	1.161295759698e+01	1.246452897132e+01	2.279863490357e-02	2.399537953858e-02	5.771955322395e-02	7.739206998320e-02	1.176901948919e-02	0.000000000000e+00	3.615054313069e+01	1.063322207786e+01	4.678376520855e+01	2.679422357249e+00	5.920309654369e-01	1.392655090979e-05	3.480483384722e-03	5.567696029011e-04	1.427232993087e-01	2.202773040443e+00	2.883839965986e-01	3.377813969389e-02	8.441513110152e+00	1.350360061714e+00	5.921260688966e+01
1030	2008	11	15	0	0		0.000000000000e+00	6.719208369818e-01	9.113046981674e-02	1.130494784762e+01	1.206799915442e+01	2.151547502495e-02	2.343499824130e-02	5.451279074174e-02	7.103823513482e-02	1.105255721954e-02	0.000000000000e+00	3.639816233852e+01	1.071934597148e+01	4.711750830999e+01	2.560043630598e+00	5.726885467341e-01	1.301865410159e-05	3.253934779856e-03	5.205615485265e-04	1.385072497933e-01	2.197388536477e+00	2.959414196402e-01	3.409264744718e-02	8.521140569626e+00	1.363193837204e+00	6.138595239556e+01
